374,United States -- Politics and government -- 1775-1783
375,Political science -- Early works to 1800
376,"Franklin, Benjamin, 1706-1790"
377,Statesmen -- United States -- Biography
378,Justice -- Early works to 1800
379,Utopias -- Early works to 1800
380,Poetry
381,Sex discrimination -- Fiction
382,Children -- Death -- Fiction
383,Unmarried couples -- Fiction
384,Stonemasons -- Fiction
385,Rich people -- Fiction
386,Businessmen -- Fiction
387,Socialites -- Fiction
388,Jewelry theft -- Fiction
389,Police -- England -- Fiction
390,East Indians -- England -- Fiction
391,Women authors -- Fiction
392,Women college students -- Fiction
393,Epistolary fiction
394,Philanthropists -- Fiction
395,Letters -- Fiction
396,Female friendship -- Fiction
397,Shipwreck survival -- Fiction
398,Animal experimentation -- Fiction
399,New Orleans (La.) -- Fiction
400,Women -- Louisiana -- New Orleans -- Social conditions -- Fiction
401,Self-actualization (Psychology) -- Fiction
402,Louisiana -- Social life and customs -- Fiction
403,Sisters -- Fiction
404,Inheritance and succession -- Fiction
405,Social classes -- Fiction
406,Cults -- United States
407,"Lenz, Frederick, 1950-"
408,Flowers -- Juvenile poetry
409,Fairy tales -- United States
410,Fairies -- Juvenile poetry
411,Flowers -- Juvenile fiction
412,"Children's stories, American"
413,Underwater exploration -- Fiction
414,Submarines (Ships) -- Fiction
415,Dentists -- Fiction
416,San Francisco (Calif.) -- Fiction
417,Avarice -- Fiction
418,Murderers -- Fiction
419,Guardian and ward -- Fiction
420,Berkshire Hills (Mass.) -- Fiction
421,Photography
422,Daguerreotype
423,Quests (Expeditions) -- Fiction
424,Detective and mystery stories
425,Venice (Italy) -- Fiction
426,Hotels -- Fiction
427,Soldiers -- Fiction
428,Teenage pregnancy -- Fiction
429,Runaway teenagers -- Fiction
430,Teenage girls -- Fiction
431,Seduction -- Fiction
432,British -- New York (State) -- New York -- Fiction
433,Elopement -- Fiction
434,Betrayal -- Fiction
435,New York (N.Y.) -- Fiction
436,"Brooklyn (New York, N.Y.) -- Fiction"
437,Mystery and detective stories
438,Booksellers and bookselling -- Fiction
439,"Fu Manchu, Doctor (Fictitious character) -- Fiction"
440,Criminals -- Fiction
441,London (England) -- History -- 1800-1950 -- Fiction
442,Conduct of life -- Fiction
443,"Great Britain -- History -- Victoria, 1837-1901 -- Fiction"
444,Appearance (Philosophy) -- Fiction
445,Portraits -- Fiction
446,Supernatural -- Fiction
447,French fiction -- Translations into English
448,Phantom of the Opera (Fictitious character) -- Fiction
449,Composers -- Fiction
450,Rome (Italy) -- Fiction
451,Sculptors -- Fiction
452,Americans -- Italy -- Fiction
453,Aristocracy (Social class) -- Fiction
454,Americans -- France -- Fiction
455,Widows -- Fiction
456,Courtship -- Fiction
457,Separation (Psychology) -- Fiction
458,Culture conflict -- Fiction
459,British -- Europe -- Fiction
460,Europeans -- United States -- Fiction
461,Upper class -- Fiction
462,Encyclopedias and dictionaries
